"","phenotype","season","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust"
"31","g_Christensenellaceae_R-7_group","dry",2.33998044568979e-05,"Positive",6.15935739025583e-06,"Positive",0.000149538664507709,"Positive",4.11967677148352e-05,"Positive",0.000848259849439026,"Positive",0.139944824913817,0.027224738794115,34.6081563876724,4.03213262778479e-09,1.73557013108997e-08
"32","g_Collinsella","dry",0.000101942671370845,"Positive",2.48808738693987e-06,"Positive",0.000214637434871521,"Positive",5.25312483264902e-05,"Positive",0.000978584938990989,"Positive",0.158968980755807,0.0268644429409258,57.4965282841003,3.38618022510673e-14,1.67615921142783e-12
"33","g_Coprococcus_2","dry",1.14355164155334e-05,"Positive",5.19892683539507e-11,"Boundary",1.69261510620738e-05,"Positive",1.43688212120044e-05,"Positive",0.000513764022069769,"Positive",0.0304156629643816,0.0127880406682244,7.45898370832583,0.00631206325880751,0.00752884653761378
"34","g_Coriobacteriaceae_UCG-003","dry",1.08504349489188e-05,"Positive",4.33204508745354e-11,"Boundary",4.35651606195596e-05,"Positive",1.78434946529284e-05,"Positive",0.000224328982418909,"Positive",0.146887748615398,0.0289193641189992,37.6734752919365,8.3634088543505e-10,4.59987486989278e-09
"35","g_Dialister","dry",6.06200577173589e-05,"Positive",1.4258457687182e-05,"Positive",9.41100408450938e-05,"Positive",7.38155777474955e-05,"Positive",0.00162993413837785,"Positive",0.05025263926803,0.0163633456523078,14.3291176893181,0.000153472579689895,0.000257521786259315
"36","g_Elusimicrobium","dry",3.68243671277088e-05,"Positive",2.09228627456157e-10,"Boundary",0.000121457532733099,"Positive",0.000126660472604882,"Positive",0.00206762173381969,"Positive",0.0516277204122098,0.0176671982009785,12.6144487335478,0.00038277640837614,0.000565594991481162
"37","g_Enterorhabdus","dry",1.97069237393342e-05,"Positive",9.87567835290352e-07,"Positive",3.81023778199255e-06,"Positive",4.75936254838429e-06,"Positive",0.000156773172761954,"Positive",0.020481046035662,0.0101749208454228,6.34837930918729,0.0117488583608315,0.013683964443792
"38","g_Erysipelotrichaceae_UCG-004","dry",5.3421523224614e-05,"Positive",8.26477535935141e-11,"Boundary",5.51435664987327e-05,"Positive",4.73719307862708e-05,"Positive",0.000816734754029451,"Positive",0.0566928775529908,0.0184343837279736,12.123050445538,0.000498023696961836,0.000704347799988882
"39","g_Faecalibacterium","dry",0.000153265033244904,"Positive",5.45760660523693e-05,"Positive",0.000162328145834089,"Positive",0.000133182496159031,"Positive",0.00168088704571483,"Positive",0.0743179485685513,0.02301951253169,14.7765857152772,0.000121028976261983,0.000210208221928707
"40","g_Family_XIII_AD3011_group","dry",1.35910071658315e-05,"Positive",1.57046668035642e-06,"Positive",7.68251379583144e-05,"Positive",1.8233435509902e-05,"Positive",0.000374332822068938,"Positive",0.158548515162204,0.0285048968449615,38.186735494739,6.42879527390505e-10,3.74382783598e-09
"41","g_Family_XIII_UCG-001","dry",2.38865874921265e-05,"Positive",2.75124718060333e-06,"Positive",8.81498264151664e-06,"Positive",6.62910397486429e-06,"Positive",0.000264798047577349,"Positive",0.0287245292486083,0.0118986316989893,8.20027321960515,0.00418840819854915,0.00511916557600452
"42","g_GCA-900066575","dry",3.13813146910683e-06,"Positive",8.04603983404731e-09,"Positive",6.31956021262252e-06,"Positive",3.63244564051209e-06,"Positive",0.000111253750270979,"Positive",0.0508199593523868,0.0159367988849353,12.760587322693,0.000353999724548193,0.00053099958682229
"43","g_Helicobacter","dry",8.6523917712224e-06,"Positive",2.7491478669488e-11,"Boundary",5.39182156624605e-05,"Positive",2.99588557857846e-05,"Positive",0.000271674003136998,"Positive",0.148044202137642,0.0314673698847835,22.6642467244965,1.92924427244723e-06,4.06372729728246e-06
"44","g_Lachnoclostridium","dry",1.29058621401686e-05,"Positive",4.83910820324375e-06,"Positive",9.57594434629094e-06,"Positive",1.19105304680549e-05,"Positive",0.000242004650423496,"Positive",0.0340494854563371,0.0162902156360118,5.37411822652939,0.0204376692078757,0.0229923778588602
"45","g_Lachnospira","dry",7.91415092972089e-06,"Positive",1.82879477477271e-06,"Positive",6.20716959901221e-06,"Positive",9.97706061594066e-06,"Positive",0.000253275895204858,"Positive",0.0222317382613915,0.0123383445828125,4.0888019373815,0.0431682305796083,0.0464527698628394
"46","g_Lachnospiraceae_FCS020_group","dry",4.3040618712355e-06,"Positive",1.77761438460746e-11,"Boundary",4.42801158334553e-06,"Positive",3.04035097791284e-06,"Positive",0.000175665929689047,"Positive",0.0236238265330357,0.0103079728970122,7.32436521240015,0.00680259863321009,0.00801734838914046
"47","g_Lachnospiraceae_ND3007_group","dry",1.03373223387509e-05,"Positive",4.17959792389368e-11,"Boundary",7.47626267725636e-06,"Positive",2.848913171742e-06,"Positive",0.000121577541455644,"Positive",0.0525608717430537,0.0143874566195416,21.1864245138931,4.16705684902485e-06,8.59455475111375e-06
"48","g_Lachnospiraceae_NK3A20_group","dry",0.000113593572705201,"Positive",1.77596234094991e-10,"Boundary",4.79398012964823e-05,"Positive",7.83182879444517e-05,"Positive",0.00175502672805268,"Positive",0.0240314383417717,0.0118217697745499,5.45884089952597,0.0194695577721021,0.02215501401653
"49","g_Lactobacillus","dry",1.08663758603885e-05,"Positive",2.26405346203215e-10,"Boundary",5.27577876471641e-05,"Positive",2.87925972885705e-05,"Positive",0.00043884018025099,"Positive",0.0993074369239173,0.0216305058135554,34.2205569881698,4.92064067270093e-09,1.94857370638957e-08
"50","g_Libanicoccus","dry",5.21621904580263e-06,"Positive",2.19550156935659e-06,"Positive",5.76290614116131e-05,"Positive",1.33738032898813e-05,"Positive",0.000181013752662789,"Positive",0.222138652471264,0.0340354404733929,56.4090871131193,5.88418203051333e-14,1.9417800700694e-12
"51","g_Marvinbryantia","dry",1.36670208219756e-05,"Positive",2.838476093643e-11,"Boundary",7.26379496737934e-06,"Positive",7.46270218394803e-06,"Positive",0.000263476204998656,"Positive",0.0248871112323716,0.0119232157493983,4.75405311328359,0.0292293704736415,0.0321523075210057
"52","g_Megasphaera","dry",0.00015707877658857,"Positive",2.84239924632272e-05,"Positive",0.000203036200867844,"Positive",0.000269438225344463,"Positive",0.00366610427677872,"Positive",0.0469547584106743,0.0171558265510656,11.4401516488215,0.000718739249064404,0.00100218571348417
"53","g_Olsenella","dry",8.94817067835036e-06,"Positive",2.91762135076838e-06,"Positive",1.36054515329323e-05,"Positive",4.67203554674878e-06,"Positive",0.000164560493805707,"Positive",0.0698776984609658,0.0181349009746054,25.431363253243,4.58404657788236e-07,1.10687953953745e-06
"54","g_Oribacterium","dry",2.8132258659007e-05,"Positive",5.89246679548858e-11,"Boundary",2.69660153034953e-05,"Positive",3.69060360424185e-05,"Positive",0.000582300450960805,"Positive",0.0399908387246565,0.0153523343341595,9.91744998549984,0.00163719055412848,0.00210495928387947
"55","g_Peptococcus","dry",6.25748357764435e-06,"Positive",1.414305900003e-07,"Positive",4.42956197869115e-06,"Positive",4.50834588248733e-06,"Positive",0.000101975194600157,"Positive",0.0377588085686093,0.0143057102378329,10.0868309854122,0.00149332702896654,0.00194525494562747
"56","g_Prevotella_2","dry",1.52675971246195e-05,"Positive",1.68177844226227e-05,"Positive",0.000207398327216074,"Positive",4.80862672779587e-05,"Positive",0.000773758079856289,"Positive",0.195413968436628,0.0335325457349599,38.4083680991171,5.73857961150281e-10,3.65589146456014e-09
"57","g_Prevotella_7","dry",3.12243797088672e-05,"Positive",5.08719930636352e-11,"Boundary",2.30884619714807e-05,"Positive",1.05288178085929e-05,"Positive",0.000502722977156353,"Positive",0.0406798775175339,0.0135429095802567,13.9266236838303,0.000190086844757298,0.000308501600507746
"58","g_Prevotella_9","dry",0.000532111149769707,"Positive",0.000166884202702248,"Positive",0.0025998282969554,"Positive",0.000743673280622994,"Positive",0.00887595250962462,"Positive",0.201249252791194,0.0354431927423667,34.7197531904203,3.80748577111234e-09,1.71336859700055e-08
"59","g_Prevotellaceae_NK3B31_group","dry",2.48584741550038e-05,"Positive",1.09640475700994e-10,"Boundary",5.84711210479157e-05,"Positive",7.2594280003846e-05,"Positive",0.00104686788673046,"Positive",0.0486128335496806,0.0182033370007729,8.89223521608073,0.00286385924167332,0.00354402581157073
"60","g_Prevotellaceae_UCG-003","dry",8.86618740534474e-05,"Positive",2.74565618930287e-10,"Boundary",0.000219479705266791,"Positive",0.00022705556318018,"Positive",0.00271328951473849,"Positive",0.0675636719107472,0.0213227003910806,11.346183748843,0.000756031645386734,0.00103954351240676
"61","g_Prevotellaceae_UCG-004","dry",3.36356064913019e-05,"Positive",1.04249259783094e-06,"Positive",0.000101425612149832,"Positive",5.81359087116342e-05,"Positive",0.000983761395280801,"Positive",0.086099766331618,0.0201779904937645,34.9179345160665,3.43898520771546e-09,1.62123588363729e-08
"62","g_Rikenellaceae_RC9_gut_group","dry",0.000252330702764575,"Positive",0.000283154305058197,"Positive",0.00180674621430196,"Positive",0.000313817967360658,"Positive",0.00665521914620854,"Positive",0.194038679711974,0.0321618837606128,47.6870579640599,4.99977836909693e-12,7.07111512200851e-11
"63","g_Ruminiclostridium_6","dry",2.51711829840887e-05,"Positive",2.73581651333274e-05,"Positive",0.000119089746419909,"Positive",5.6337901394891e-05,"Positive",0.00107971945646017,"Positive",0.0910697338030638,0.0229098498483715,24.5002817946806,7.42989699653585e-07,1.75133286346916e-06
"64","g_Ruminiclostridium_9","dry",1.95175892626875e-05,"Positive",1.12468435415791e-06,"Positive",4.70748725807957e-06,"Positive",8.11830483456206e-06,"Positive",0.00027178933283371,"Positive",0.0154213699014192,0.0093901143708723,4.02840171816933,0.0447403075689852,0.0471201111630802
"65","g_Ruminococcaceae_NK4A214_group","dry",2.00470458382108e-05,"Positive",2.70227322944119e-11,"Boundary",3.15465080180748e-05,"Positive",9.42353899593336e-06,"Positive",0.000267041796710276,"Positive",0.0961611052869499,0.0204728944678976,32.6147718852008,1.12357543269326e-08,4.11977658654195e-08
"66","g_Ruminococcaceae_UCG-002","dry",2.01179280778307e-05,"Positive",1.38641871799662e-05,"Positive",6.58285775731443e-05,"Positive",3.68288456588978e-05,"Positive",0.000430154363208826,"Positive",0.116142000427065,0.026910226691217,29.6635547154874,5.13920079825425e-08,1.49641435007991e-07
"67","g_Ruminococcaceae_UCG-003","dry",6.81797066754144e-06,"Positive",1.23318462566027e-11,"Boundary",1.79554716032068e-06,"Positive",2.8957760525099e-06,"Positive",0.000121864745031689,"Positive",0.013462492468172,0.00837141707105664,4.06607773249561,0.0437527569040032,0.0465755154139389
"68","g_Ruminococcaceae_UCG-005","dry",4.17189675044925e-05,"Positive",5.08743841644986e-06,"Positive",0.000107790942032693,"Positive",2.25574583094461e-05,"Positive",0.000878834637736352,"Positive",0.102075776083943,0.0204408732025734,41.7872084184273,1.0176703924003e-10,8.39578073730247e-10
"69","g_Ruminococcaceae_UCG-008","dry",2.67538820346609e-05,"Positive",7.24879583418159e-06,"Positive",1.3621385229057e-05,"Positive",1.55504966249913e-05,"Positive",0.00032580684215838,"Positive",0.03501808868799,0.0152141675422427,7.49002020736225,0.00620418599010764,0.00749041967098361
"70","g_Ruminococcaceae_UCG-009","dry",1.19726982517133e-05,"Positive",1.96229406749145e-06,"Positive",6.73031126156849e-05,"Positive",1.87254182712977e-05,"Positive",0.000352698785140872,"Positive",0.148682829064008,0.0275772987115132,38.9465453126031,4.35570468582114e-10,3.08010545640209e-09
"71","g_Ruminococcaceae_UCG-010","dry",1.19052797540655e-05,"Positive",2.04771532273027e-06,"Positive",1.22877561224934e-05,"Positive",1.47597962709861e-05,"Positive",0.000172064846523736,"Positive",0.0576712899835753,0.0199001269406073,11.2684569884441,0.000788352301585915,0.00106913531310967
"72","g_Ruminococcaceae_UCG-011","dry",6.4328269297206e-06,"Positive",5.11886457175112e-06,"Positive",1.84763080147084e-05,"Positive",5.87262569945751e-06,"Positive",0.000127229124916655,"Positive",0.113261425336119,0.0259239328362529,23.2340287526022,1.43436691768528e-06,3.15560721890762e-06
"73","g_Ruminococcaceae_UCG-013","dry",1.47414456198562e-05,"Positive",3.13571866233735e-11,"Boundary",3.14629004717424e-05,"Positive",2.22539446616943e-05,"Positive",0.000309875380640792,"Positive",0.0831617702650909,0.023283347410478,14.1241382194421,0.000171133609884966,0.000282370456310194
"74","g_Ruminococcaceae_UCG-014","dry",0.000151602221516281,"Positive",1.22533154633211e-05,"Positive",0.000616752053049488,"Positive",0.000240828734406967,"Positive",0.00333855004142959,"Positive",0.141457335251789,0.0274534098899977,44.1398143244005,3.05738767636399e-11,3.36312644400039e-10
"75","g_Ruminococcus_1","dry",5.29999245297509e-05,"Positive",7.70438301745449e-06,"Positive",0.000130812995019285,"Positive",2.91482233430369e-05,"Positive",0.00103431829578676,"Positive",0.104234805865842,0.021906067533079,33.0238875818322,9.10334974069116e-09,3.46627547818625e-08
"76","g_Senegalimassilia","dry",6.37811899754436e-06,"Positive",1.7088179968265e-11,"Boundary",2.64589602167878e-05,"Positive",1.05099212437056e-05,"Positive",0.000168867390296343,"Positive",0.124680319709571,0.0252087360827783,37.3669944318681,9.78643721616379e-10,5.09924886526429e-09
"77","g_Slackia","dry",6.07969224539952e-06,"Positive",3.81431837462111e-11,"Boundary",1.48973982051928e-05,"Positive",6.19016029129097e-06,"Positive",0.000104043236602575,"Positive",0.113538133848842,0.0243993816532335,31.082544499448,2.4728520453543e-08,8.44180525827847e-08
"78","g_Solobacterium","dry",3.05125111944878e-05,"Positive",4.51513940117102e-11,"Boundary",2.83290747674336e-05,"Positive",2.84918683190987e-05,"Positive",0.000446191349175823,"Positive",0.0530979481861686,0.0176277639711677,14.5881789599298,0.00013375093950474,0.000228299017430504
"79","g_Streptococcus","dry",6.57027004419939e-06,"Positive",6.26078149810618e-07,"Positive",4.20523011786258e-05,"Positive",1.35095551569914e-05,"Positive",0.000247393069619466,"Positive",0.135586420832857,0.0262132087010561,35.5989955797777,2.42412501183509e-09,1.19994188085837e-08
"80","g_Succinivibrio","dry",7.70091534332375e-05,"Positive",1.83833595830364e-05,"Positive",8.00622556007192e-05,"Positive",5.61105870616101e-05,"Positive",0.00125646805103454,"Positive",0.0538040713599069,0.0183257502267267,10.1128812193201,0.00147236602976164,0.00194525494562747
"81","g_Treponema_2","dry",6.38042258157421e-05,"Positive",9.16324805580892e-05,"Positive",0.000453115321847745,"Positive",0.000241275463018553,"Positive",0.00360042031396086,"Positive",0.101817997936697,0.026238513832141,18.3839441102755,1.8057316638842e-05,3.43783528316415e-05
"82","o_Bacteroidales","dry",0.000803689563787261,"Positive",1.1034044400547e-09,"Boundary",0.000795661983146295,"Positive",0.000421795627433736,"Positive",0.0109039715510646,"Positive",0.0615593506043285,0.0182323762124072,13.4849227291015,0.000240488041485798,0.000384005098501516
"83","o_Betaproteobacteriales","dry",1.33075556534965e-05,"Positive",1.99926453872209e-05,"Positive",6.99014494372494e-05,"Positive",2.07737801036997e-05,"Positive",0.000451264998707995,"Positive",0.121516927319534,0.0266542093724937,30.3760973398748,3.55886554670448e-08,1.13654093265724e-07
"84","o_Campylobacterales","dry",1.52580419021906e-05,"Positive",9.96616278843415e-07,"Positive",6.33825287618768e-05,"Positive",3.78393326102325e-05,"Positive",0.000444087423783769,"Positive",0.11286787464531,0.0277140782148362,16.2735898374376,5.48227637315879e-05,9.86809747168582e-05
"85","o_Clostridiales","dry",0.000819909706014837,"Positive",0.000213577818413227,"Positive",0.00130282164992313,"Positive",0.000304200281690136,"Positive",0.00878770807705591,"Positive",0.114000424488773,0.0242542731175458,29.1686262961703,6.63448512794318e-08,1.82448341018437e-07
"86","o_Coriobacteriales","dry",0.000130980064059297,"Positive",1.6063089961168e-05,"Positive",0.000244925176989701,"Positive",7.09548438086453e-05,"Positive",0.00123648336419333,"Positive",0.144123946429014,0.0263075919980343,47.9883601963811,4.28757029879989e-12,7.07111512200851e-11
"87","o_Gastranaerophilales","dry",6.92109582108933e-05,"Positive",6.90833466392385e-05,"Positive",0.000153793513365463,"Positive",0.000114650108940681,"Positive",0.00216127019312542,"Positive",0.0598882504112146,0.0209359909279245,10.1084238641051,0.00147593134162893,0.00194525494562747
"88","o_Lactobacillales","dry",1.12309408432844e-05,"Positive",1.09525384774668e-06,"Positive",8.60404058868122e-05,"Positive",3.87470315271843e-05,"Positive",0.000547072934216445,"Positive",0.125755766222374,0.0248981611720487,39.8294356465558,2.77136757986796e-10,2.11050300313022e-09
"89","o_Mollicutes_RF39","dry",0.000194468220377956,"Positive",2.20504991586635e-05,"Positive",0.000826990694820241,"Positive",0.000241452488985606,"Positive",0.00360764947634981,"Positive",0.169028486148077,0.0299296084081384,49.048440892846,2.49722464928936e-12,4.94450480559293e-11
"90","o_WCHB1-41","dry",0.00140770164499142,"Positive",2.13040501251421e-09,"Boundary",0.00323879040237504,"Positive",0.00122590143595636,"Positive",0.0210529111588031,"Positive",0.120287966623253,0.0255243049308036,29.195940757334,6.5416110861527e-08,1.82448341018437e-07
"91","asv_richness","dry",3380.56369368731,"Positive",169.922369030151,"Positive",795.703525082535,"Positive",262.252655330642,"Positive",2839.24923771862,"Positive",0.106838948300769,0.0211825935662002,51.0605194957752,8.95616913965114e-13,2.21665186206366e-11
"92","p_Cyanobacteria","dry",5.8871962552894e-05,"Positive",4.54241255963836e-05,"Positive",0.000107462904587021,"Positive",7.13260027361393e-05,"Positive",0.00190215784186135,"Positive",0.0491766419507577,0.0179690115405572,9.38596512335789,0.00218652911722594,0.00274008079247301
"93","p_Firmicutes","dry",0.00100241520299094,"Positive",0.000147479749091954,"Positive",0.000737912055354799,"Positive",0.000226497296714576,"Positive",0.00937825488243106,"Positive",0.0642078098859176,0.0175919197240524,16.7291123317955,4.31143080603658e-05,7.90428981106706e-05
"94","p_Proteobacteria","dry",8.43891795341191e-05,"Positive",1.70090789226755e-05,"Positive",0.000119519930408202,"Positive",7.04882993976929e-05,"Positive",0.00157626128016443,"Positive",0.0639942137615073,0.0195624663297544,12.4248882291795,0.000423649892663081,0.000616784402553603
"95","pc1_bc","dry",0.00117018335909228,"Positive",0.000142183984561617,"Positive",0.00887514304229813,"Positive",0.0021103894504382,"Positive",0.0193971096942663,"Positive",0.280017049173429,0.0383583841936093,61.6252664007443,4.10782519111308e-15,4.06674693920195e-13
"96","pc2_bc","dry",0.00132188013531416,"Positive",0.000204059803237288,"Positive",0.00206012181107692,"Positive",0.00118462440536817,"Positive",0.0148736997802297,"Positive",0.104870766531965,0.0245305164117724,28.6872218685348,8.50631638460442e-08,2.27601438398875e-07
"97","pc3_bc","dry",0.000535659910989855,"Positive",3.98719902975442e-06,"Positive",0.000461242672082312,"Positive",0.000574970477587533,"Positive",0.0106837280063635,"Positive",0.0376230149065856,0.0136034103205399,13.1231019677325,0.000291676701920429,0.000451187398283164
"98","pc4_bc","dry",0.000393741269711695,"Positive",0.000214379266873356,"Positive",0.000974599496901824,"Positive",0.000261171296969255,"Positive",0.00778121353540672,"Positive",0.101255987387568,0.0239068647870147,23.0477661573677,1.5802600884518e-06,3.40099453818974e-06
