"","phenotype","season","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust"
"48","g_Lachnospiraceae_NK3A20_group","wet",0.000172733347990555,"Positive",2.43487162370523e-10,"Boundary",3.84224228496823e-05,"Positive",6.55465565933212e-05,"Positive",0.00240616857714115,"Positive",0.0143213821049285,0.00764648116461355,5.09824427016429,0.023950073835013,0.027215992994333
"49","g_Lactobacillus","wet",5.77826998322489e-05,"Positive",1.02641767074901e-10,"Boundary",0.000119838000394716,"Positive",4.69181036917437e-05,"Positive",0.00101431793049541,"Positive",0.0967327271482863,0.0201687588846898,33.1337148892926,8.60339222086282e-09,3.44135688834513e-08
"50","g_Libanicoccus","wet",1.81820521515838e-05,"Positive",4.28332104244152e-06,"Positive",3.91042762251075e-05,"Positive",1.21470111463581e-05,"Positive",0.000228561180925039,"Positive",0.129365341608517,0.0240011299494968,46.9724146697554,7.19924120318183e-12,1.41229884929674e-10
"51","g_Marvinbryantia","wet",2.93994600235479e-05,"Positive",1.56052131632833e-06,"Positive",6.77910632896854e-06,"Positive",5.21872235526957e-06,"Positive",0.000308123366669449,"Positive",0.0193092275490622,0.00855100913349153,7.26448629322113,0.00703313827816088,0.00857699790019619
"52","g_Megasphaera","wet",0.000621330158778975,"Positive",7.85667606061011e-05,"Positive",0.000130885742157254,"Positive",0.000323934958203634,"Positive",0.00480086375737263,"Positive",0.0219769882853281,0.0121748091432493,4.30385311748978,0.0380261269487385,0.042251252165265
"53","g_Olsenella","wet",1.65124444530644e-05,"Positive",2.87220568736675e-06,"Positive",1.6415222643017e-06,"Positive",9.27498959595891e-06,"Positive",0.000178309251785731,"Positive",0.00786884141834985,0.0106578206769786,0.420042238169117,0.516915968993881,0.516915968993881
"54","g_Oribacterium","wet",4.6515246801987e-05,"Positive",9.45583440041234e-11,"Boundary",3.55769418324665e-05,"Positive",4.08225688942984e-05,"Positive",0.00093443659958957,"Positive",0.0336472246536867,0.012156052360045,11.5372620708658,0.000682150261349879,0.000921824677499836
"55","g_Peptococcus","wet",1.15117582118408e-05,"Positive",1.64218033258812e-11,"Boundary",9.84182358986813e-06,"Positive",2.79594495192011e-06,"Positive",0.000162282178485444,"Positive",0.0527904988603315,0.0125447659824653,28.7776040179597,8.11845000114886e-08,2.31955714318539e-07
"56","g_Prevotella_2","wet",0.00010839542962455,"Positive",1.46842241244162e-10,"Boundary",0.000324339301787682,"Positive",8.31403443037878e-05,"Positive",0.00145111217872346,"Positive",0.164891397665454,0.0283202295845717,43.1733976724572,5.00972596739757e-11,5.00972596739757e-10
"57","g_Prevotella_7","wet",2.67482134729333e-05,"Positive",4.38312194723633e-11,"Boundary",1.73716608510895e-05,"Positive",1.5761620544785e-05,"Positive",0.000433145230185432,"Positive",0.0352347214135249,0.0121499034715845,12.7656052782986,0.000353051332631638,0.000519193136222997
"58","g_Prevotella_9","wet",0.00119178453240161,"Positive",1.37744805983382e-09,"Boundary",0.00225963402331916,"Positive",0.000824264000189642,"Positive",0.0136121026092233,"Positive",0.12632272964238,0.026001156723093,28.778884562671,8.11308392689725e-08,2.31955714318539e-07
"59","g_Prevotellaceae_NK3B31_group","wet",8.98118451204361e-05,"Positive",1.49610408992443e-10,"Boundary",6.52158435597316e-05,"Positive",5.7385668002951e-05,"Positive",0.00147846753572595,"Positive",0.038569149419194,0.0130291432105049,12.501781971725,0.000406564040052015,0.000572625408523965
"60","g_Prevotellaceae_UCG-003","wet",9.89998676180369e-05,"Positive",1.65968570995621e-10,"Boundary",0.000232707596371034,"Positive",2.84311978423268e-05,"Positive",0.00164012080322732,"Positive",0.116338695617988,0.019569943750953,47.8515712315493,4.59743354497277e-12,1.41229884929674e-10
"61","g_Prevotellaceae_UCG-004","wet",4.29350345174354e-05,"Positive",6.8541158055087e-11,"Boundary",7.55603056356449e-05,"Positive",4.47295932859416e-05,"Positive",0.000677331729309196,"Positive",0.0898931658303881,0.019753430228556,35.3996073390153,2.68541011649859e-09,1.34270505824929e-08
"62","g_Rikenellaceae_RC9_gut_group","wet",0.000670504837449006,"Positive",1.59813288106819e-05,"Positive",0.00118761144253337,"Positive",0.000442761116608729,"Positive",0.00651302270975031,"Positive",0.13449913809776,0.0246555353249072,45.9200848366308,1.23177024136112e-11,1.5397128017014e-10
"63","g_Ruminiclostridium_6","wet",4.99144766995925e-05,"Positive",9.00703063368619e-11,"Boundary",8.82107954289493e-05,"Positive",4.35827898273984e-05,"Positive",0.000890085287171886,"Positive",0.0823020483265363,0.0187793006013245,29.5695626727538,5.39454302339593e-08,1.7401751688374e-07
"64","g_Ruminiclostridium_9","wet",3.21351711804255e-05,"Positive",8.82430338030016e-07,"Positive",1.35208696510935e-05,"Positive",5.75679289733197e-06,"Positive",0.000350853633844298,"Positive",0.0335381535734034,0.00958032648380414,20.8909967234649,4.86174333236278e-06,9.53283006345643e-06
"65","g_Ruminococcaceae_NK4A214_group","wet",3.03418235901215e-05,"Positive",2.95278722210109e-11,"Boundary",3.31081041433482e-05,"Positive",6.71460208269775e-06,"Positive",0.000291797882058019,"Positive",0.0914683413425553,0.0170436110743567,46.5120930488338,9.10549413646322e-12,1.41229884929674e-10
"66","g_Ruminococcaceae_UCG-002","wet",5.83284403096139e-05,"Positive",4.00984393835141e-11,"Boundary",6.97735920740846e-05,"Positive",5.50336817740801e-05,"Positive",0.000508089706397623,"Positive",0.100941872147019,0.0219889527822443,39.9313753228489,2.63043808956809e-10,2.10514170198359e-09
"67","g_Ruminococcaceae_UCG-003","wet",1.04085164468919e-05,"Positive",1.30649913408216e-11,"Boundary",6.42053835724657e-07,"Positive",3.49999641652376e-06,"Positive",0.000129109770383163,"Positive",0.00446924871800996,0.00600279410782711,0.584042056652834,0.444732310893949,0.45380848050403
"68","g_Ruminococcaceae_UCG-005","wet",6.31110224363551e-05,"Positive",1.00588494000368e-10,"Boundary",5.78154939301216e-05,"Positive",4.28911043439916e-05,"Positive",0.000771336131800293,"Positive",0.0618245797079395,0.016961045592129,16.9614568275283,3.81464180644331e-05,6.57696863179881e-05
"69","g_Ruminococcaceae_UCG-008","wet",0.000152044465775212,"Positive",1.23763485279958e-10,"Boundary",3.080592231594e-05,"Positive",1.54189745802925e-05,"Positive",0.00122304521675331,"Positive",0.0216742444490564,0.00761752189137605,12.7662423238944,0.000352931114678268,0.000519193136222997
"70","g_Ruminococcaceae_UCG-009","wet",1.69971644560517e-05,"Positive",1.08358525996498e-11,"Boundary",3.38242174178118e-05,"Positive",2.21186534114558e-05,"Positive",0.000263016843139246,"Positive",0.100680231598385,0.0221775777627377,32.1421152353287,1.43297066435011e-08,5.51142563211581e-08
"71","g_Ruminococcaceae_UCG-010","wet",1.79052594406425e-05,"Positive",2.053997300734e-11,"Boundary",1.82328900927309e-05,"Positive",8.94235904554567e-06,"Positive",0.000202978412267915,"Positive",0.073502249065474,0.0170719454260652,31.0063078440289,2.57191211661123e-08,8.86866247107321e-08
"72","g_Ruminococcaceae_UCG-011","wet",1.04896710545329e-05,"Positive",1.45608863076292e-11,"Boundary",2.1321445713596e-05,"Positive",7.43193664829738e-06,"Positive",0.000143892379161357,"Positive",0.11642446094803,0.021746920326713,41.7394995629002,1.04280806212387e-10,9.48007329203518e-10
"73","g_Ruminococcaceae_UCG-013","wet",3.50576416675914e-05,"Positive",4.10153353623029e-11,"Boundary",1.75854108925828e-05,"Positive",3.3580354037882e-05,"Positive",0.000405318334522703,"Positive",0.0357760246060098,0.0144593631149383,8.78163055317418,0.00304279087315351,0.0039010139399404
"74","g_Ruminococcaceae_UCG-014","wet",0.000270827946472098,"Positive",3.11147131916886e-10,"Boundary",0.000347435739875386,"Positive",0.000240594140151866,"Positive",0.00307479229868687,"Positive",0.0883239996788426,0.0200421541657571,35.8241931445009,2.15949580439911e-09,1.13657673915743e-08
"75","g_Ruminococcus_1","wet",9.1621222459146e-05,"Positive",1.14043162927264e-10,"Boundary",0.000116842421966097,"Positive",2.40799431722654e-05,"Positive",0.00112698785595848,"Positive",0.0859431480740568,0.0173078679087873,36.5778902719394,1.46686085500392e-09,8.149226972244e-09
"76","g_Senegalimassilia","wet",2.03374607297079e-05,"Positive",1.63012321924916e-06,"Positive",2.09595057661088e-05,"Positive",1.39585261564207e-05,"Positive",0.000247403679986168,"Positive",0.0688801941160413,0.0168141240506966,29.2182081890496,6.46686251215556e-08,1.95965530671381e-07
"77","g_Slackia","wet",1.47572130360344e-05,"Positive",8.6264408072781e-07,"Positive",1.53358279036731e-05,"Positive",8.51754854868415e-06,"Positive",0.000178980903435896,"Positive",0.0702015906584593,0.0171346303336238,26.221271487826,3.04450401222844e-07,8.01185266375905e-07
"78","g_Solobacterium","wet",5.64642236294117e-05,"Positive",3.07996765518804e-06,"Positive",3.71387135899486e-05,"Positive",2.47989180190453e-05,"Positive",0.000714402088045914,"Positive",0.0444304682790291,0.0135985928699387,14.9063068705727,0.000112984624271562,0.00018830770711927
"79","g_Streptococcus","wet",2.37333481366637e-05,"Positive",5.56172416192472e-11,"Boundary",5.693210192066e-05,"Positive",6.29620700143167e-06,"Positive",0.000549616077614203,"Positive",0.0894346343668478,0.0169683825226215,37.5252780361334,9.0235918737136e-10,6.01572791580907e-09
"80","g_Succinivibrio","wet",0.000129622852706019,"Positive",1.33655618248524e-10,"Boundary",0.000130570367190507,"Positive",7.99294192578976e-05,"Positive",0.00132080043012118,"Positive",0.0786131273017768,0.0195119438277493,22.6138695995396,1.9804970978754e-06,4.30542847364217e-06
"81","g_Treponema_2","wet",7.78096431829421e-05,"Positive",4.26136092168779e-10,"Boundary",0.000199001392519099,"Positive",0.00023769905199044,"Positive",0.0025806029094377,"Positive",0.0642953473120519,0.0202575688133944,12.7372927117103,0.00035843616058695,0.000519472696502826
"82","o_Bacteroidales","wet",0.00144462092568865,"Positive",1.67511014892438e-09,"Boundary",0.000586443207724789,"Positive",0.000765009518730211,"Positive",0.0165536341396865,"Positive",0.0303075975753925,0.0119136923748906,8.95539361070405,0.00276651573780762,0.00359287758156834
"83","o_Betaproteobacteriales","wet",4.08773473927614e-05,"Positive",5.83544001996097e-11,"Boundary",6.48329580027865e-05,"Positive",3.51476387467901e-05,"Positive",0.000576664998397543,"Positive",0.0903566267868518,0.0196126437455487,33.8074996451905,6.08438588400873e-09,2.53516078500364e-08
"84","o_Campylobacterales","wet",3.66013232782427e-05,"Positive",5.88487540001943e-11,"Boundary",3.46122522740374e-05,"Positive",4.44032622446349e-05,"Positive",0.000581550260394014,"Positive",0.0496469920083561,0.0169087370305534,12.6795334785857,0.000369679795354294,0.000528113993363277
"85","o_Clostridiales","wet",0.00246557926792953,"Positive",1.64433171865801e-09,"Boundary",0.00121260809610123,"Positive",0.000909828199060853,"Positive",0.0162494780969627,"Positive",0.0581935630164723,0.0158807570514548,20.3824745136953,6.34078367467428e-06,1.2193814758989e-05
"86","o_Coriobacteriales","wet",0.000219403352292434,"Positive",2.60432389567108e-05,"Positive",0.000189388061133003,"Positive",0.00012553296787167,"Positive",0.00165832954109211,"Positive",0.0853600321993084,0.0204021755781841,28.2633451821093,1.05882116741007e-07,2.94116990947242e-07
"87","o_Gastranaerophilales","wet",0.000146211237274483,"Positive",2.75458185335679e-10,"Boundary",3.8664908838935e-05,"Positive",0.000163390563201876,"Positive",0.00272210996020574,"Positive",0.0125928866493611,0.00924883330993516,2.42441608670924,0.119457746898626,0.128449190213576
"88","o_Lactobacillales","wet",7.86034610738878e-05,"Positive",1.32758706153866e-10,"Boundary",0.000152124315288639,"Positive",4.16816476814043e-05,"Positive",0.00131193704004503,"Positive",0.0960170682294623,0.0189533368653243,37.0467098217923,1.15333020911379e-09,6.78429534772818e-09
"89","o_Mollicutes_RF39","wet",0.000335185511019741,"Positive",3.50874012974561e-10,"Boundary",0.000495983000829879,"Positive",0.000301026823986695,"Positive",0.00346737797728351,"Positive",0.107832385577931,0.022807994254675,37.8727717725051,7.55118079176498e-10,5.39370056554641e-09
"90","o_WCHB1-41","wet",0.00291605079495031,"Positive",2.03679835338963e-09,"Boundary",0.0025795453589026,"Positive",0.00107349427882247,"Positive",0.0201278792203473,"Positive",0.0966231447099346,0.0215340084444331,22.0678141825483,2.63185794469045e-06,5.59969775466053e-06
"91","asv_richness","wet",4412.27161104766,"Positive",0.000320023497106085,"Boundary",715.792851727641,"Positive",338.18592803114,"Positive",3162.50957622029,"Positive",0.0829543095317968,0.0160569026895131,59.3217507307272,1.34336985979644e-14,1.34336985979644e-12
"92","p_Cyanobacteria","wet",0.000408261264255817,"Positive",1.76476930458834e-06,"Positive",7.15358984098099e-05,"Positive",7.44307982657177e-05,"Positive",0.0031766985435286,"Positive",0.0191646973090447,0.00837623258557354,6.02975841629814,0.014066658333307,0.0165490098038906
"93","p_Firmicutes","wet",0.00208135506292518,"Positive",1.65667094636656e-09,"Boundary",0.00086331822847961,"Positive",0.000681165793475428,"Positive",0.0163714157863646,"Positive",0.0431718334599765,0.0127493360108668,17.1478650257268,3.45797868775977e-05,6.06662927677153e-05
"94","p_Proteobacteria","wet",0.000169868474773112,"Positive",2.16029521244341e-10,"Boundary",0.000221331916520889,"Positive",4.36026851701708e-05,"Positive",0.00213482896055923,"Positive",0.0861336933555102,0.0174393748862402,31.0622548585889,2.49883647107652e-08,8.86866247107321e-08
"95","pc1_bc","wet",0.00344319910656015,"Positive",6.07415709826258e-09,"Boundary",0.00605097464283367,"Positive",0.00239993135662142,"Positive",0.0220888955694372,"Positive",0.178058836506667,0.0303775880162538,46.3509339046141,9.88609194507717e-12,1.41229884929674e-10
"96","pc2_bc","wet",0.00370991266199079,"Positive",2.08958883341899e-09,"Boundary",0.00180419020130695,"Positive",0.00154250530354132,"Positive",0.0206495609097726,"Positive",0.0651187127403563,0.0173026137479789,24.3097401980704,8.20232511800079e-07,1.95293455190495e-06
"97","pc3_bc","wet",0.000545748600579135,"Positive",7.84437098036034e-05,"Positive",0.000162494637130847,"Positive",0.00032070961440092,"Positive",0.00991118508846243,"Positive",0.0147473279489913,0.00909842481232196,3.16308866661711,0.0753205532937846,0.0818701666236789
"98","pc4_bc","wet",0.000748218286174516,"Positive",1.03827228323179e-09,"Boundary",0.000818800211122123,"Positive",0.000297835477450083,"Positive",0.0102603279700933,"Positive",0.0675288952144089,0.0167349438946752,21.5527760868135,3.44224052728492e-06,6.88448105456984e-06
