"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust","hydro_year","number_samples","number_snames"
"23","f_Prevotellaceae",0.000656766585682716,"Positive",0.000232556599439648,"Positive",0.00520284198216658,"Positive",0.000454710196329725,"Positive",0.0104198144998114,"Positive",0.306650385198634,0.0712668719204327,16.5281476974496,4.79331977353281e-05,0.00212503843293288,2009,1678,236
"24","g_Family_XIII_AD3011_group",8.70771293784695e-06,"Positive",4.34487303891816e-11,"Boundary",8.01840719643712e-05,"Positive",6.87040057900247e-05,"Positive",0.000429365428391813,"Positive",0.136608797007098,0.0708786659885428,4.37682675540418,0.0364307607873974,0.0629258595418682,2004,1023,216
"25","g_CAG-873",0.000151958648707631,"Positive",1.08132111710051e-10,"Boundary",0.000277177461053365,"Positive",0.000365792945984003,"Positive",0.00167441849194186,"Positive",0.11224724084525,0.0616404393186154,3.239894123064,0.0718652822760792,0.106200917141317,2009,1678,236
"26","g_Candidatus_Methanogranum",7.57597657144942e-05,"Positive",0.000267383321258835,"Positive",0.00126580667529047,"Positive",0.000381567622193071,"Positive",0.0033747798328403,"Positive",0.235924800439692,0.0760896214433747,9.74958408855491,0.00179363291520218,0.00993971573841208,2009,1678,236
"27","g_Christensenellaceae_R-7_group",2.99567108122525e-05,"Positive",7.43829691815056e-11,"Boundary",9.69641308117865e-05,"Positive",0.00013003645039794,"Positive",0.000735061189167092,"Positive",0.0977442712811686,0.0623821417797574,1.80133587537421,0.179551077926391,0.209476257580789,2009,1678,236
"28","g_Collinsella",9.93035534803861e-05,"Positive",9.21464671310355e-11,"Boundary",0.0001513078160811,"Positive",0.00024604746951106,"Positive",0.000910602150629479,"Positive",0.107519363700694,0.0649730968255287,2.7418159192639,0.0977536246609185,0.134033320411362,2009,1678,236
"29","g_Family_XIII_AD3011_group",1.57825024874153e-05,"Positive",3.19122656468383e-11,"Boundary",8.21380844582642e-05,"Positive",7.64935694871833e-05,"Positive",0.000315360736382294,"Positive",0.167705777309806,0.066924451514381,7.64455042483132,0.00569440864380333,0.0199304302533117,2009,1678,236
"30","g_Libanicoccus",9.45197632797718e-06,"Positive",5.91507718484487e-06,"Positive",5.48434550943539e-05,"Positive",3.85428810307011e-05,"Positive",0.000189851937900796,"Positive",0.183665360381928,0.0709061155298292,7.4246841205204,0.00643351180455209,0.0208696846342787,2009,1678,236
"31","g_Prevotella_2",1.84031602508027e-05,"Positive",8.63638332422765e-11,"Boundary",0.000616839931023879,"Positive",5.358532489327e-10,"Boundary",0.000853457487145866,"Positive",0.414347708431805,0.033531179087005,25.1592719501223,5.27852562104414e-07,3.51021953799435e-05,2009,1678,236
"32","g_Prevotella_9",0.000275162630346859,"Positive",5.68376618032381e-05,"Positive",0.00332451447462067,"Positive",0.00107581967950678,"Positive",0.00776914019662355,"Positive",0.265929785851982,0.0765090900064706,11.1184530782321,0.000854730445057461,0.00568395745963212,2009,1678,236
"33","g_Rikenellaceae_RC9_gut_group",5.97542092683297e-05,"Positive",1.10346997881293e-05,"Positive",0.00267578820116271,"Positive",0.000607484410879896,"Positive",0.00549754893546797,"Positive",0.302293940101887,0.0779132180383678,13.3181938560811,0.000262843235312893,0.00317801366332862,2009,1678,236
"34","g_Ruminococcaceae_UCG-009",1.7612420092343e-05,"Positive",3.08778375224188e-11,"Boundary",7.14679798503502e-05,"Positive",4.1215266078514e-05,"Positive",0.00030513839683857,"Positive",0.164130418077496,0.0640181202567625,6.65912231036964,0.00986494915987612,0.0279157071970963,2009,1678,236
"35","g_Libanicoccus",3.88927750069968e-06,"Positive",1.45608254671737e-11,"Boundary",2.81041369573126e-05,"Positive",5.16090507929109e-05,"Positive",0.00014389177792887,"Positive",0.123537786124501,0.0728172867360208,4.004684519281,0.0453739879671956,0.0735943951175246,2004,1023,216
"36","g_Ruminococcaceae_UCG-011",6.43809322020587e-06,"Positive",1.32686030321552e-11,"Boundary",3.28863040743384e-05,"Positive",4.87572102983704e-06,"Positive",0.000131121884898178,"Positive",0.187576578985995,0.0592093777178568,8.17220803503005,0.00425370933550606,0.0166906919954317,2009,1678,236
"37","pc1_bc",0.00282405572538535,"Positive",1.77376311872357e-09,"Boundary",0.00757655875639774,"Positive",0.00104474284767747,"Positive",0.0175285343096234,"Positive",0.261496052616742,0.0686433287138795,13.8597237296108,0.000196974863043153,0.00291085075385993,2002,2108,172
"38","pc1_bc",0.00316365271794234,"Positive",0.00103175900198961,"Positive",0.00555687892234877,"Positive",9.52943903418459e-10,"Boundary",0.0179606385109677,"Positive",0.200515748463102,0.0446962822744401,12.32035395824,0.000448045731909597,0.00421932306453634,2003,1390,175
"39","pc1_bc",0.00807754828561837,"Positive",1.76661468804237e-09,"Boundary",0.00507288186826824,"Positive",0.00420476612076773,"Positive",0.0174578926827157,"Positive",0.14571765283607,0.0675989420595164,5.13271238189827,0.023479009178375,0.0503662616245786,2007,1237,206
"40","pc1_bc",0.00192100215763259,"Positive",1.87401701214821e-09,"Boundary",0.00675772152930298,"Positive",0.00426001914659465,"Positive",0.0185192549938102,"Positive",0.214817267259729,0.0781287445356011,8.13131173438887,0.00435072592367725,0.0166906919954317,2008,1636,209
"41","pc1_bc",0.00074935920088003,"Positive",2.01779209552873e-09,"Boundary",0.00938251283888832,"Positive",0.00653335938240016,"Positive",0.0199400571602899,"Positive",0.256315758870771,0.0864679863445149,8.30690387047343,0.00394946597377577,0.0166906919954317,2009,1678,236
"42","g_Prevotella_2",1.80501222300243e-05,"Positive",7.30970975639465e-11,"Boundary",0.000142893771595279,"Positive",2.28148911411893e-05,"Positive",0.000722354055656291,"Positive",0.15769974076261,0.064004839115859,6.82713570493706,0.0089783131334098,0.0259590357987718,2004,1023,216
"43","g_Prevotella_9",0.000314729515138069,"Positive",8.62466980512032e-10,"Boundary",0.00034128678055148,"Positive",0.00124010547217508,"Positive",0.00852299943506628,"Positive",0.0327558097898574,0.0509557898736728,0.401314276370613,0.526411289289654,0.542734119965302,2004,1023,216
"44","g_Rikenellaceae_RC9_gut_group",0.000253073788715418,"Positive",8.09426496769969e-05,"Positive",0.000946057946977711,"Positive",0.000869674276528699,"Positive",0.00723094176720862,"Positive",0.100851632843802,0.0635851440385521,2.54099979880903,0.110924527638773,0.145034595370131,2004,1023,216
"45","g_Ruminococcaceae_UCG-009",2.74060250565173e-06,"Positive",1.28544750305619e-06,"Positive",4.92859025434764e-05,"Positive",1.61157871663896e-05,"Positive",0.000188398765676034,"Positive",0.191159176858265,0.0704093096684375,7.24190955840004,0.00712211934100659,0.0220288807524157,2004,1023,216
"46","g_Ruminococcaceae_UCG-011",1.1713306051077e-06,"Positive",2.74012797870824e-06,"Positive",1.34927625317871e-05,"Positive",6.01040652232606e-07,"Positive",8.72894478607149e-05,"Positive",0.128142834330287,0.0576926365093348,6.07134515275175,0.0137392288070272,0.034477687383672,2004,1023,216
"47","o_Mollicutes_RF39",0.000650433551196592,"Positive",3.01069651806718e-10,"Boundary",0.000744334015653526,"Positive",0.000290082417813137,"Positive",0.00297520546321769,"Positive",0.159726418685258,0.0592678911394461,11.2825401222344,0.000782394319815971,0.0054767602387118,2005,1068,220
"48","pc1_bc",0.00309404396882165,"Positive",0.000900936067578576,"Positive",0.00391292964673593,"Positive",0.00569420650017064,"Positive",0.0227072483425014,"Positive",0.107766404007282,0.0726789961795691,-242.855283847223,1,1,2005,1068,220
"49","o_WCHB1-41",0.00109324379571625,"Positive",0.000196218312191795,"Positive",0.00195018180010238,"Positive",0.00387248520086114,"Positive",0.0224662338737131,"Positive",0.0659327157912902,0.0591637266403489,1.43823197704478,0.230425659367939,0.259717056745219,2005,1068,220
"50","f_Prevotellaceae",0.000339460312053514,"Positive",1.68705245733237e-09,"Boundary",0.00045883157764083,"Positive",0.00184923720092503,"Positive",0.0166716494262013,"Positive",0.0237500542361959,0.0402151670511132,0.431190834988229,0.511405201482128,0.531381967165024,2005,1068,220
"51","g_CAG-873",0.000176679524310667,"Positive",4.8373711946586e-05,"Positive",0.00010034903990605,"Positive",0.000119191444843942,"Positive",0.00132158323943634,"Positive",0.0568170925980413,0.0502399794501436,1.45121977036433,0.228332330858116,0.259557264992559,2005,1068,220
"52","g_Candidatus_Methanogranum",0.000518489629640572,"Positive",5.01857356595198e-10,"Boundary",0.00133317191214461,"Positive",0.000659363843906014,"Positive",0.00495941301336007,"Positive",0.178459650072562,0.070318840281858,8.60466895706668,0.00335302309267882,0.0153776576319408,2005,1068,220
"53","g_Christensenellaceae_R-7_group",5.30295325061202e-05,"Positive",1.05500978417987e-06,"Positive",0.000113513628293615,"Positive",8.9562707704904e-05,"Positive",0.0006610625825746,"Positive",0.123623097352442,0.0614631296804106,5.21797312273884,0.0223545919609454,0.049193603996092,2005,1068,220
"54","g_Collinsella",0.000302932796911806,"Positive",5.07065374101876e-05,"Positive",0.000214834497951068,"Positive",8.67027601162279e-05,"Positive",0.00127549632777155,"Positive",0.111274414069666,0.0584261582950037,4.341070376061,0.0372035275351816,0.063436784130502,2005,1068,220
"55","g_Family_XIII_AD3011_group",7.06921195193073e-05,"Positive",5.81092736565291e-11,"Boundary",6.91893786919178e-05,"Positive",7.92733178781741e-05,"Positive",0.00057424262926875,"Positive",0.087206448708921,0.0542900338176592,3.18838245137249,0.0741633622020745,0.10839260629534,2005,1068,220
"56","g_Libanicoccus",5.73920254976259e-06,"Positive",3.60041715760998e-06,"Positive",2.85811896231172e-05,"Positive",2.92369890095959e-05,"Positive",0.000192234525553998,"Positive",0.110185178936859,0.0621964788330548,4.72955327527779,0.0296485849375667,0.0555388985450193,2005,1068,220
"57","g_Prevotella_2",1.61248383494621e-05,"Positive",1.13327518089886e-10,"Boundary",0.000115496479572211,"Positive",8.26185085296016e-05,"Positive",0.00111991577009027,"Positive",0.0865689654647179,0.0489321237936713,5.20187946891565,0.0225624800282828,0.049193603996092,2005,1068,220
"58","g_Prevotella_9",0.000201033832086013,"Positive",1.15570595079387e-09,"Boundary",0.000831200787845209,"Positive",0.001701252638063,"Positive",0.0114208211888541,"Positive",0.0587242197736871,0.0518767871233241,1.73549456903311,0.187710708648372,0.217091515219422,2005,1068,220
"59","pc1_bc",0.00353930570877335,"Positive",2.2417920941235e-09,"Boundary",0.006098201211049,"Positive",0.00356513083339771,"Positive",0.0221536513089547,"Positive",0.172478531716498,0.0729468586701005,-35.8659437561491,1,1,2011,1153,292
"60","g_Rikenellaceae_RC9_gut_group",0.000373407297561939,"Positive",0.000361675725060607,"Positive",0.000431866293526077,"Positive",0.00125453333156345,"Positive",0.00479741948311894,"Positive",0.0598243729723985,0.068220737731679,0.789719399478599,0.374184986413532,0.405947627450212,2005,1068,220
"61","g_Ruminococcaceae_UCG-009",8.85234239266391e-06,"Positive",1.70773314534938e-11,"Boundary",8.90093270763823e-06,"Positive",5.45818800094213e-05,"Positive",0.000168760184006299,"Positive",0.0369187231482794,0.0534190260551414,0.611739621188462,0.434133562904317,0.461918110930193,2005,1068,220
"62","g_Ruminococcaceae_UCG-011",8.2688309302736e-06,"Positive",2.51093116980136e-06,"Positive",1.07043624535456e-05,"Positive",6.40259110118685e-06,"Positive",0.00011592784753447,"Positive",0.0744317002128457,0.0495759907738847,2.53666445464842,0.111229539306416,0.145034595370131,2005,1068,220
"63","o_Mollicutes_RF39",0.000503659307414952,"Positive",9.92130576286499e-10,"Boundary",0.000394793750862407,"Positive",0.000585349882332534,"Positive",0.00355943789664486,"Positive",0.0782817410345212,0.056874244850655,1.94413522406558,0.163220240507794,0.199158642087492,2011,1153,292
"64","o_WCHB1-41",0.00249273839433449,"Positive",1.5510070173268e-09,"Boundary",0.00202773634781539,"Positive",0.000808325225518406,"Positive",0.0197931863238343,"Positive",0.0807156010315476,0.0494687289764753,2.36896939986264,0.123768737216852,0.156773733808013,2011,1153,292
"65","f_Prevotellaceae",0.00185162697298121,"Positive",0.000134269814021578,"Positive",0.000660624594770536,"Positive",0.00294038952723879,"Positive",0.012296744944238,"Positive",0.0369401312679855,0.0510635011780896,0.551779710316623,0.457591415960277,0.483013161291404,2011,1153,292
"66","g_CAG-873",0.000227974615858045,"Positive",2.38252363669612e-10,"Boundary",0.000321691485720168,"Positive",0.000186954326709981,"Positive",0.00235443768496941,"Positive",0.104071631505443,0.0572766880153095,2.66993612138413,0.102260127839452,0.137379767703506,2011,1153,292
"67","g_Candidatus_Methanogranum",0.00121344215168545,"Positive",3.4450146833132e-10,"Boundary",0.000445971612782079,"Positive",0.000860650044455238,"Positive",0.00340440374682423,"Positive",0.0752762307587784,0.0553739298253807,1.90908283438966,0.16706517448987,0.201996983701388,2011,1153,292
"68","g_Christensenellaceae_R-7_group",8.62313557655124e-05,"Positive",8.62648947570082e-11,"Boundary",0.000156736445660702,"Positive",4.22599064136637e-05,"Positive",0.000852479765478716,"Positive",0.137765143898739,0.0589557671493464,5.09738805459619,0.0239618994678658,0.0505862322099389,2011,1153,292
"69","g_Collinsella",0.000252028322197682,"Positive",1.10861902645102e-10,"Boundary",0.000203932847448127,"Positive",0.000143923022262315,"Positive",0.00109555027028817,"Positive",0.120283525350245,0.0525691832785757,7.59737764424972,0.00584532576120567,0.0199340596471886,2011,1153,292
"70","pc1_bc",0.00197947575775231,"Positive",0.00132428582096968,"Positive",0.00684825715657614,"Positive",0.00175960567789235,"Positive",0.0186403396151774,"Positive",0.224151126592629,0.0835859667630339,5.83638013212021,0.0156980905552795,0.0379608371609486,2012,1091,250
"71","g_Family_XIII_AD3011_group",3.276990548368e-05,"Positive",9.73953984730628e-11,"Boundary",3.49583563524861e-05,"Positive",7.06849997490575e-05,"Positive",0.000427158867540876,"Positive",0.061810595911851,0.0529481196862935,1.52808711081525,0.216399762465881,0.248113520758295,2011,1153,292
"72","g_Libanicoccus",1.73319358669464e-05,"Positive",2.1089761283492e-11,"Boundary",3.18865925768541e-05,"Positive",3.33265569962023e-05,"Positive",0.000208411484226529,"Positive",0.109592267678042,0.0620249902999522,3.5605571209453,0.0591678773462985,0.0899964618669536,2011,1153,292
"73","g_Prevotella_2",6.3459241240198e-05,"Positive",1.02960999523898e-10,"Boundary",0.000232605469565362,"Positive",0.000135709766050542,"Positive",0.00101747262284182,"Positive",0.16050089255898,0.0650962594101379,8.23266205502205,0.00411431375207605,0.0166906919954317,2011,1153,292
"74","g_Prevotella_9",0.00125698459375028,"Positive",0.000321089312105214,"Positive",0.000894007049334009,"Positive",0.00206904402986148,"Positive",0.0101388744919257,"Positive",0.0608996649309231,0.0551389160787137,1.41885887133776,0.23359131857849,0.261072650175959,2011,1153,292
"75","g_Rikenellaceae_RC9_gut_group",0.00047919392925723,"Positive",0.000249737662807909,"Positive",0.00114075535476184,"Positive",0.000617013974799246,"Positive",0.00637951373252232,"Positive",0.128663178059655,0.0623342528231532,4.89578852851082,0.0269222760681801,0.0534427271204172,2011,1153,292
"76","g_Ruminococcaceae_UCG-009",2.91678340872005e-05,"Positive",1.44937337019724e-10,"Boundary",3.80935230858509e-05,"Positive",3.15246366516216e-05,"Positive",0.000331570767667313,"Positive",0.0885161188695991,0.0534378840905194,3.00869497204803,0.0828189444592365,0.115946522242931,2011,1153,292
"77","g_Ruminococcaceae_UCG-011",2.0635545250395e-05,"Positive",1.55195909599873e-11,"Boundary",1.95467237097285e-05,"Positive",1.8227606264299e-05,"Positive",0.000153366410509888,"Positive",0.0922989191613735,0.0530204022011012,3.59304254201379,0.0580219222609463,0.0897315774500681,2011,1153,292
"78","o_Mollicutes_RF39",0.000617370123955493,"Positive",5.69625886575986e-05,"Positive",0.000716255184421586,"Positive",0.000182399221388308,"Positive",0.00382593200430177,"Positive",0.132666403800489,0.0552853319398592,7.35934014764553,0.00667152707925378,0.021126502417637,2012,1091,250
"79","o_WCHB1-41",0.00224402078264656,"Positive",1.51698903478503e-09,"Boundary",0.00243241112422868,"Positive",0.00275878214022031,"Positive",0.0149910628216731,"Positive",0.108462540346125,0.0711091155711264,1.81710934493776,0.177657744954924,0.209476257580789,2012,1091,250
"80","f_Prevotellaceae",0.00136103591924927,"Positive",0.000128765770353699,"Positive",0.00291253511918993,"Positive",0.000128765015932396,"Positive",0.0150636872170761,"Positive",0.148638248310642,0.0615725438174216,5.41854938810047,0.0199239065996827,0.0456875789268586,2012,1091,250
"81","o_Mollicutes_RF39",0.000715759813389134,"Positive",3.83248472059572e-10,"Boundary",0.000854819540117261,"Positive",0.000205634981070662,"Positive",0.00378730616320468,"Positive",0.15364722419429,0.0618790417593486,5.91874471921165,0.0149806279018513,0.0368967316841893,2004,1023,216
"82","g_CAG-873",0.000261801479392875,"Positive",7.07068995265214e-05,"Positive",8.97486651890373e-10,"Boundary",0.000444307705332845,"Positive",0.00202635444952131,"Positive",3.20168307183017e-07,1.8628162648159e-08,-5.74951536691515e-06,1,1,2012,1091,250
"83","g_Candidatus_Methanogranum",0.000188746815674406,"Positive",3.04570731695627e-10,"Boundary",0.000926474076784159,"Positive",0.000325786308853951,"Positive",0.00300980354359588,"Positive",0.208158483135918,0.0722561190313936,10.6414571716614,0.00110580511212488,0.00668509454148223,2012,1091,250
"84","g_Christensenellaceae_R-7_group",7.69945334659582e-05,"Positive",8.4477089170883e-05,"Positive",0.000148125560432107,"Positive",5.82989340554196e-05,"Positive",0.00116312140547366,"Positive",0.0967497486121182,0.0620955825580572,2.33488423499693,0.12650439469024,0.157243780315906,2012,1091,250
"85","g_Collinsella",0.000115375471228914,"Positive",6.26389370329563e-10,"Boundary",6.66465783076297e-05,"Positive",0.000256236681078881,"Positive",0.00119714942124808,"Positive",0.0407522444503624,0.0535162463938396,0.6632481991237,0.415415543606365,0.445566671771343,2012,1091,250
"86","g_Family_XIII_AD3011_group",2.99783492677615e-05,"Positive",5.30149685077928e-11,"Boundary",4.98177607997618e-05,"Positive",6.74693231721717e-05,"Positive",0.000523900110788846,"Positive",0.0742257365681577,0.0617678146848234,1.11240820331295,0.291559057097685,0.320474004909026,2012,1091,250
"87","g_Libanicoccus",1.49561266461803e-05,"Positive",1.10364881391128e-05,"Positive",1.65408409748392e-05,"Positive",3.72759147487449e-05,"Positive",0.000236761727835645,"Positive",0.0522500034315765,0.0597535099396107,0.785628511675895,0.375425249446437,0.405947627450212,2012,1091,250
"88","g_Prevotella_2",2.86994322517001e-05,"Positive",1.04867747671046e-10,"Boundary",0.000276570379567614,"Positive",0.000187309450664202,"Positive",0.0010363153307346,"Positive",0.180895636510398,0.0809771515370754,4.40948349812606,0.0357396607488472,0.0625444063104826,2012,1091,250
"89","g_Prevotella_9",0.00119085628180733,"Positive",0.000268901518578062,"Positive",0.00235412458160921,"Positive",0.000907547463848997,"Positive",0.0120280416151382,"Positive",0.140549186109734,0.0705273947406357,3.14419472776353,0.0761976044582735,0.110155232532069,2012,1091,250
"90","g_Rikenellaceae_RC9_gut_group",0.000312822877018802,"Positive",0.000181600474148546,"Positive",0.000729273773103642,"Positive",0.000999038761268637,"Positive",0.00646100018490145,"Positive",0.0839815682084174,0.0683126242168893,1.36118171698126,0.243332784700535,0.269693836376426,2012,1091,250
"91","g_Ruminococcaceae_UCG-009",3.05001025674906e-06,"Positive",1.0096736850736e-05,"Positive",2.34094708776695e-06,"Positive",6.36246008418949e-05,"Positive",0.000268781793314689,"Positive",0.00672890734895005,0.0657450608452363,0.00608634078344039,0.937816118237674,0.959458028658543,2012,1091,250
"92","o_WCHB1-41",0.000744527848270413,"Positive",0.000403954305904303,"Positive",0.00239984279149789,"Positive",0.00161311305661933,"Positive",0.021036433030089,"Positive",0.0916044967368399,0.0547368840084037,3.79091017538531,0.051531619790085,0.0815917313343012,2004,1023,216
"93","g_Ruminococcaceae_UCG-011",3.68584044417612e-05,"Positive",4.2369434435479e-06,"Positive",3.28952664817146e-05,"Positive",5.04327965829696e-05,"Positive",0.000228534087749195,"Positive",0.0931989449238191,0.0676305796011454,1.81185532269592,0.178285826661615,0.209476257580789,2012,1091,250
"94","o_Mollicutes_RF39",0.000250993273708851,"Positive",2.82854148173286e-10,"Boundary",0.000375081267286103,"Positive",0.000446341764734749,"Positive",0.00279519772879402,"Positive",0.0969800079601519,0.0512970046105002,4.89850238558392,0.0268799971406699,0.0534427271204172,2002,2108,172
"95","o_WCHB1-41",0.00390439449794108,"Positive",1.91025488375897e-09,"Boundary",0.001949336864744,"Positive",0.00103083552214424,"Positive",0.0188773618735461,"Positive",0.0756673437956908,0.0399036918378744,3.54996987715549,0.0595465311600896,0.0899964618669536,2002,2108,172
"96","f_Prevotellaceae",0.00342518423408465,"Positive",1.84239976450139e-09,"Boundary",0.00194264142890193,"Positive",0.00110008313743288,"Positive",0.0182068096597613,"Positive",0.0787300283480322,0.039474040781326,4.30668982122916,0.037962762448411,0.0639119924764388,2002,2108,172
"97","g_CAG-873",0.000311496847111138,"Positive",2.33022127445464e-10,"Boundary",0.000532912510763113,"Positive",2.28173057450292e-06,"Positive",0.00230275187972593,"Positive",0.169208484395147,0.0484726028598805,14.0469969983442,0.000178298316395931,0.00291085075385993,2002,2108,172
"98","g_Candidatus_Methanogranum",0.000709369432117421,"Positive",1.11137692748026e-05,"Positive",0.000389492764672272,"Positive",0.00055147465593219,"Positive",0.00478564709991774,"Positive",0.0604136592110805,0.0410285342853775,2.34277645002658,0.125865043118915,0.157243780315906,2002,2108,172
