"","phenotype","Vplate","Vplate_constraint","Vmom","Vmom_constraint","VA","VA_constraint","VI","VI_constraint","VR","VR_constraint","heritability","heritability_se","VA_LRT_chi","VA_LRT_p","p_adjust","n_samples","n_snames","model_number"
"15","f_Lachnospiraceae",0.00068309344261171,"Positive",0.000138295959272265,"Positive",0.000234070096305491,"Positive",3.40021501613082e-10,"Boundary",0.0053128353879306,"Positive",0.0367555347221723,0.0375649859426542,1.11620889765982,0.290736243249416,0.570284083705741,974,200,"0.6-3"
"16","f_Pasteurellaceae",2.97929737873874e-05,"Positive",5.33696959949736e-11,"Boundary",3.98498436458706e-05,"Positive",7.67495150871853e-06,"Positive",0.00052740556924831,"Positive",0.0658976388247053,0.0543230183230324,2.17030380068627,0.140698436139668,0.532140798573021,974,200,"0.6-3"
"17","f_Prevotellaceae",0.000878025382987951,"Positive",1.59004338077916e-09,"Boundary",0.002317929658978,"Positive",2.73320211554564e-09,"Boundary",0.0157129944013231,"Positive",0.122583707570342,0.0339471641916928,2.70526377420674,0.100017538172657,0.532140798573021,974,200,"0.6-3"
"18","f_Ruminococcaceae",0.00077968650370453,"Positive",5.83273231546542e-10,"Boundary",1.34232801950527e-09,"Boundary",0.000640874614876032,"Positive",0.00576397419876773,"Positive",1.86835696456657e-07,9.48453898585521e-09,-7.28006853023544e-07,1,1,974,200,"0.6-3"
"19","f_vadinBE97",5.64364822175644e-05,"Positive",4.18879559064776e-10,"Boundary",6.16881891668647e-05,"Positive",0.000324725968585868,"Positive",0.00219853050944785,"Positive",0.0233545164043153,0.0684764517438802,0.0915987301004861,0.762154455716961,0.845678231685943,974,200,"0.6-3"
"20","f_Veillonellaceae",0.000335053888516279,"Positive",5.38551114938863e-05,"Positive",3.37792621955243e-10,"Boundary",0.000552670274570524,"Positive",0.00527800914704458,"Positive",5.43110863147901e-08,2.43271668430026e-09,-1.53195651364513e-06,1,1,974,200,"0.6-3"
"21","g_[Eubacterium]_coprostanoligenes_group",6.54583459414305e-05,"Positive",8.68398186556684e-11,"Boundary",1.16580061540365e-05,"Positive",3.9419426822906e-05,"Positive",0.000858161230594723,"Positive",0.0119606452072731,0.0489500272286768,0.0616698988224016,0.803875802533795,0.856762368489966,974,200,"0.6-3"
"22","g_[Eubacterium]_hallii_group",3.6976977528946e-05,"Positive",1.52114974956662e-05,"Positive",1.81314579960533e-05,"Positive",2.08264948115472e-05,"Positive",0.000418781322991269,"Positive",0.0355569155959306,0.0715974625960135,0.272570829671167,0.601612428453461,0.726494868963508,974,200,"0.6-3"
"23","g_[Eubacterium]_ruminantium_group",2.52986631749235e-05,"Positive",6.63566931506573e-06,"Positive",1.80452626246169e-05,"Positive",1.58490308279661e-05,"Positive",0.000623985280222548,"Positive",0.0261596098068476,0.0561645463631343,0.280737394301468,0.596218309278776,0.726494868963508,974,200,"0.6-3"
"24","g_Acidaminococcus",7.89307072465723e-05,"Positive",1.05631719298223e-10,"Boundary",0.000144626609712807,"Positive",3.02738152158808e-05,"Positive",0.00104386498758403,"Positive",0.111448740377764,0.0736742382420017,3.19505225886405,0.0738614094991578,0.532140798573021,974,200,"0.6-3"
"25","g_Alloprevotella",0.00014796789703378,"Positive",1.45984314252953e-05,"Positive",0.000207103555998351,"Positive",5.1528364857913e-05,"Positive",0.00196375994468074,"Positive",0.086837394684618,0.0742828729558841,1.77140882176263,0.183207822318739,0.545654162484544,974,200,"0.6-3"
"26","g_Bifidobacterium",0.00185493631413444,"Positive",0.000798576026531301,"Positive",0.00182153881860804,"Positive",3.93421964442541e-09,"Boundary",0.023691548747515,"Positive",0.0646701614752725,0.0398909719361298,1.40063295976279,0.236617621307584,0.545654162484544,974,200,"0.6-3"
"27","g_Butyricicoccus",2.13580194117333e-05,"Positive",5.25789596856507e-07,"Positive",1.11765513506838e-05,"Positive",1.3984181775924e-11,"Boundary",0.000218502816609892,"Positive",0.0444284050791695,0.0342096712327785,1.30984324989913,0.252423037776523,0.545654162484544,974,200,"0.6-3"
"28","g_CAG-873",0.000221002687156456,"Positive",1.79595933770092e-10,"Boundary",0.000264986705782735,"Positive",5.87658943499581e-05,"Positive",0.00177478799380117,"Positive",0.114240888465326,0.0718649916543588,3.26078076916201,0.070955334457679,0.532140798573021,974,200,"0.6-3"
"29","g_Campylobacter",3.11007399836093e-11,"Boundary",3.7263351080911e-05,"Positive",5.68495127365187e-05,"Positive",7.89218352609268e-07,"Positive",0.000644423010271071,"Positive",0.0768937926310044,0.0739126110937668,1.54459409362971,0.213935276825357,0.545654162484544,974,200,"0.6-3"
"30","g_Candidatus_Methanogranum",0.000450452666660566,"Positive",0.000101581290369086,"Positive",0.000544463680078719,"Positive",7.33821828691857e-10,"Boundary",0.0033994527752984,"Positive",0.121100888859844,0.0496913025792443,3.53658088848715,0.0600290834440931,0.532140798573021,974,200,"0.6-3"
"31","g_Christensenellaceae_R-7_group",2.82440957700977e-05,"Positive",1.32936187682343e-05,"Positive",4.42007534374326e-05,"Positive",7.27145570832351e-05,"Positive",0.000796888124126306,"Positive",0.046266983762948,0.0785668690940576,0.367609492639531,0.544310191537371,0.726494868963508,974,200,"0.6-3"
"32","g_Collinsella",0.000108366364234663,"Positive",1.05852370296834e-05,"Positive",0.000211607657457594,"Positive",2.79376654549533e-05,"Positive",0.00101177228188471,"Positive",0.154427798947473,0.103410596304132,2.42770793316595,0.119207086266938,0.532140798573021,974,200,"0.6-3"
"33","g_Coprococcus_2",3.40145608410341e-05,"Positive",6.54984300282421e-11,"Boundary",1.17102979782932e-05,"Positive",4.14248451578129e-11,"Boundary",0.000647263135566091,"Positive",0.0168982670210045,0.0191652605875572,1.00201059656411,0.316824490947634,0.570284083705741,974,200,"0.6-3"
"34","g_Coriobacteriaceae_UCG-003",8.68987809430352e-06,"Positive",1.27521589694609e-05,"Positive",1.62651448503913e-05,"Positive",1.95677329981981e-05,"Positive",0.000305564270534784,"Positive",0.0448274208044737,0.0735801181803487,0.511946340264331,0.474297511987365,0.695530481734392,974,200,"0.6-3"
"35","g_Dialister",5.35849201081689e-05,"Positive",1.97603077133154e-10,"Boundary",0.000123000667652401,"Positive",1.24975161533165e-10,"Boundary",0.00195273668769715,"Positive",0.0577651633274613,0.0280693557743251,1.36409611749059,0.242828848239908,0.545654162484544,974,200,"0.6-3"
"36","g_Elusimicrobium",8.10811389744346e-05,"Positive",2.08357841282151e-10,"Boundary",6.3287494548895e-05,"Positive",4.74471476663544e-05,"Positive",0.00205901652314286,"Positive",0.0281173717689232,0.0564206165198779,0.19784324869579,0.656467374542516,0.759626533399197,974,200,"0.6-3"
"37","g_Enterorhabdus",2.12694214291291e-05,"Positive",7.56025797265356e-07,"Positive",9.75002289257943e-06,"Positive",2.28450532782598e-07,"Positive",0.000160516273916905,"Positive",0.0506441566528863,0.056551457449028,1.03382272683302,0.309262507148228,0.570284083705741,974,200,"0.6-3"
"38","g_Erysipelotrichaceae_UCG-004",0.000117160253081836,"Positive",1.26596797104913e-10,"Boundary",5.65948493829142e-05,"Positive",8.00668461104308e-11,"Boundary",0.00125104433513014,"Positive",0.0397212686085181,0.0238484562268867,2.22163256246404,0.136089087166945,0.532140798573021,974,200,"0.6-3"
"39","g_Faecalibacterium",0.000525925434726767,"Positive",2.81072710333739e-05,"Positive",0.000344876698339736,"Positive",5.26970167949677e-10,"Boundary",0.00251204369567758,"Positive",0.101108586066759,0.0453359667658851,1.88665179027248,0.169580050352758,0.545654162484544,974,200,"0.6-3"
"40","g_Family_XIII_AD3011_group",2.41160836971294e-05,"Positive",4.47001240487816e-11,"Boundary",4.28087065503979e-05,"Positive",1.18172963376939e-06,"Positive",0.000441731846695137,"Positive",0.0839652438960246,0.0605168582983006,2.24838006974733,0.133754357378836,0.532140798573021,974,200,"0.6-3"
"41","g_Family_XIII_UCG-001",7.27590880754173e-05,"Positive",5.1599535943483e-11,"Boundary",1.21881095767427e-05,"Positive",3.26344125462568e-11,"Boundary",0.000509912640869911,"Positive",0.0204890413868773,0.0200948666516702,1.05149756707669,0.305162435689497,0.570284083705741,974,200,"0.6-3"
"42","g_GCA-900066575",3.08970456063492e-06,"Positive",8.25652960251061e-07,"Positive",3.29186974496756e-06,"Positive",7.39882645652469e-12,"Boundary",0.00011560665087619,"Positive",0.0268037260646076,0.0360268143021046,0.620038446319086,0.431032999429508,0.671416787572888,974,200,"0.6-3"
"43","g_Helicobacter",1.93360903738685e-05,"Positive",1.85795806689758e-05,"Positive",9.75092831482664e-06,"Positive",4.63480062184467e-06,"Positive",0.00037933951978031,"Positive",0.0225903705335728,0.0721363572156766,0.0712762341809139,0.789487568306406,0.856762368489966,974,200,"0.6-3"
"44","g_Lachnoclostridium",2.12563664452955e-05,"Positive",9.98176309926556e-06,"Positive",2.5989734746814e-11,"Boundary",1.56695886477196e-05,"Positive",0.000227663348857444,"Positive",9.46557573090147e-08,4.63557746313263e-09,-1.16388218884822e-06,1,1,974,200,"0.6-3"
"45","g_Lachnospira",2.64369033604028e-05,"Positive",2.29858059671341e-05,"Positive",8.02458106778177e-11,"Boundary",1.25184272186464e-11,"Boundary",0.000195600404130147,"Positive",3.27502900297278e-07,1.6375861972792e-08,6.17000296188053e-06,0.998018097428572,1,974,200,"0.6-3"
"46","g_Lachnospiraceae_FCS020_group",9.42726426770381e-06,"Positive",1.52835548187043e-11,"Boundary",7.51510331425034e-06,"Positive",2.24463871170008e-11,"Boundary",0.000151033873793392,"Positive",0.0447390747924584,0.0271371384129422,1.09492458585373,0.295382649888617,0.570284083705741,974,200,"0.6-3"
"47","g_Lachnospiraceae_ND3007_group",2.60777958697187e-05,"Positive",1.81038315963818e-06,"Positive",8.88137863145151e-06,"Positive",8.37156790516297e-06,"Positive",0.000171725787817941,"Positive",0.0409531287777822,0.0720937298556566,0.312565065575654,0.576110407617375,0.726494868963508,974,200,"0.6-3"
"48","g_Lachnospiraceae_NK3A20_group",0.000158689225870224,"Positive",1.52529698638187e-10,"Boundary",3.10597847268365e-10,"Boundary",0.000133773913625027,"Positive",0.00150731629696977,"Positive",1.72575461776564e-07,8.10862670497739e-09,-3.95763890992384e-07,1,1,974,200,"0.6-3"
"49","g_Lactobacillus",5.27790458777512e-05,"Positive",1.16828284499119e-10,"Boundary",4.40579888070511e-05,"Positive",1.12663128305487e-05,"Positive",0.00115451075262569,"Positive",0.0348942600320184,0.0441209192453756,0.90589453996563,0.341206069821419,0.575785242823645,974,200,"0.6-3"
"50","g_Libanicoccus",9.98502361871801e-06,"Positive",6.77925376947726e-06,"Positive",3.33084805446076e-05,"Positive",1.62730030631327e-11,"Boundary",0.00017597574596733,"Positive",0.147351022334036,0.0522858219212626,2.79159505229472,0.0947598633391187,0.532140798573021,974,200,"0.6-3"
"51","g_Marvinbryantia",2.28767212450455e-05,"Positive",5.18000068744317e-06,"Positive",1.44710190766889e-05,"Positive",3.73635596131226e-06,"Positive",0.000242783827781167,"Positive",0.0500644282055373,0.0686140748848308,0.581831231534125,0.445595430510449,0.681004337195214,974,200,"0.6-3"
"52","g_Megasphaera",0.000703929701962303,"Positive",1.41060161676718e-09,"Boundary",3.08219951601684e-10,"Boundary",0.000734613899282325,"Positive",0.00481593622275998,"Positive",4.92798562904401e-08,2.58868552400265e-09,5.15126885147765e-07,0.99942733962591,1,974,200,"0.6-3"
"53","g_Olsenella",1.33591945194349e-05,"Positive",4.09463487447857e-06,"Positive",2.23864445177378e-05,"Positive",1.03920351826843e-05,"Positive",0.000189844762240157,"Positive",0.0932469077255087,0.0980800592159657,0.727494940627366,0.39369638278683,0.648077698865521,974,200,"0.6-3"
"54","g_Oribacterium",5.59754526922862e-05,"Positive",1.91756413613691e-05,"Positive",2.23977655433112e-05,"Positive",3.5988346322816e-05,"Positive",0.000657324549459686,"Positive",0.028320708886175,0.0698694239779711,0.181324974014387,0.670237042856712,0.764636626357657,974,200,"0.6-3"
"55","g_Peptococcus",7.21529639248184e-06,"Positive",2.06324851945846e-06,"Positive",9.9591749946774e-12,"Boundary",4.34992426777121e-06,"Positive",0.000155612092456802,"Positive",5.88462618672171e-08,2.29218493217764e-09,-2.43879549088888e-06,1,1,974,200,"0.6-3"
"56","g_Prevotella_2",1.62489603875226e-05,"Positive",1.36174315356303e-10,"Boundary",0.000143228767063582,"Positive",8.61242006208961e-11,"Boundary",0.00134569048911678,"Positive",0.0951579659559248,0.0302371801413986,3.9176575864949,0.0477814125571061,0.532140798573021,974,200,"0.6-3"
"57","g_Prevotella_7",4.28393151708715e-05,"Positive",3.93988434627432e-11,"Boundary",3.33856066125169e-05,"Positive",1.78887967672957e-05,"Positive",0.000389343972769681,"Positive",0.0690558956681721,0.0651070072999577,1.34211581523959,0.24666118435374,0.545654162484544,974,200,"0.6-3"
"58","g_Prevotella_9",0.000757708356879769,"Positive",1.23425987221187e-09,"Boundary",0.00222237428903784,"Positive",1.69844440387616e-09,"Boundary",0.0121971002151775,"Positive",0.14642861458188,0.0356251468956293,2.47040905096264,0.116007730416603,0.532140798573021,974,200,"0.6-3"
"59","g_Prevotellaceae_NK3B31_group",8.9775909811074e-05,"Positive",6.1334113911633e-11,"Boundary",9.2297921910195e-05,"Positive",6.10676866058471e-10,"Boundary",0.00118938013167472,"Positive",0.0672992890375894,0.0287072610107442,0.646826691205206,0.421249510192309,0.669043339717197,974,200,"0.6-3"
"60","g_Prevotellaceae_UCG-003",9.09497585582564e-05,"Positive",2.93237932121861e-05,"Positive",0.000125273504376662,"Positive",0.000117639266120135,"Positive",0.00167836661641919,"Positive",0.0613618691941759,0.086249091133329,0.519174147211743,0.471194180013947,0.695530481734392,974,200,"0.6-3"
"61","g_Prevotellaceae_UCG-004",3.59023777769441e-05,"Positive",5.83115521488139e-11,"Boundary",4.90154578629543e-05,"Positive",7.52324859120485e-05,"Positive",0.000576241568955052,"Positive",0.0665616428066515,0.0679113369609487,1.37864799386807,0.240331577436865,0.545654162484544,974,200,"0.6-3"
"62","g_Rikenellaceae_RC9_gut_group",0.000568899742752223,"Positive",0.000343382410828647,"Positive",0.000595305463841894,"Positive",2.43911277750714e-05,"Positive",0.004915703823739,"Positive",0.0923285936422975,0.0937208861018205,0.925061083313267,0.336149596609555,0.575785242823645,974,200,"0.6-3"
"63","g_Ruminiclostridium_6",7.59409740925687e-05,"Positive",3.91414655327465e-11,"Boundary",0.000159560731152796,"Positive",4.54718635795903e-10,"Boundary",0.000813550552936252,"Positive",0.152099816565231,0.0369948016620921,2.83519932977561,0.0922193576355936,0.532140798573021,974,200,"0.6-3"
"64","g_Ruminiclostridium_9",3.68589905044993e-05,"Positive",9.08358066942419e-07,"Positive",1.92978673243806e-11,"Boundary",1.6253714004556e-05,"Positive",0.000301529144322248,"Positive",5.42760653841809e-08,2.50250894995852e-09,-4.47427737526596e-07,1,1,974,200,"0.6-3"
"65","g_Ruminococcaceae_NK4A214_group",2.09890950556529e-05,"Positive",7.42399612469092e-06,"Positive",1.22501107456823e-05,"Positive",3.0176330237625e-06,"Positive",0.000248996917647962,"Positive",0.0418552849916085,0.0709838394726982,0.325997967423064,0.568025186990732,0.726494868963508,974,200,"0.6-3"
"66","g_Ruminococcaceae_UCG-002",3.71600776295178e-05,"Positive",1.83017252119786e-05,"Positive",5.06699465952319e-06,"Positive",7.45344891655088e-05,"Positive",0.000372119272359029,"Positive",0.00999047496676213,0.0786990155373559,0.0193936464602302,0.889243849309778,0.90035939742615,974,200,"0.6-3"
"67","g_Ruminococcaceae_UCG-003",1.10593550773548e-05,"Positive",4.87975397885722e-06,"Positive",8.56229345428445e-12,"Boundary",2.04341862347412e-06,"Positive",0.000133785820749457,"Positive",5.64168554237401e-08,2.58665319639439e-09,-1.11838107841322e-06,1,1,974,200,"0.6-3"
"68","g_Ruminococcaceae_UCG-005",7.80341107276425e-05,"Positive",8.14167172364248e-11,"Boundary",7.76447330351622e-05,"Positive",2.89225766373011e-06,"Positive",0.000804569508967212,"Positive",0.0806161900284884,0.0635421274478174,1.80009784397589,0.17970066646963,0.545654162484544,974,200,"0.6-3"
"69","g_Ruminococcaceae_UCG-008",7.29845003127063e-05,"Positive",6.91249397218693e-11,"Boundary",3.32841795199396e-05,"Positive",2.00513310501539e-05,"Positive",0.000683100727924347,"Positive",0.0411209832929477,0.0537890750224713,0.708182129230408,0.400047962262667,0.648077698865521,974,200,"0.6-3"
"70","g_Ruminococcaceae_UCG-009",1.53168567117761e-05,"Positive",3.07432189298499e-11,"Boundary",1.24381400462134e-05,"Positive",3.12664183455587e-05,"Positive",0.000303808080183743,"Positive",0.0342809478111975,0.0646116164692257,0.305661912382675,0.580354490303624,0.726494868963508,974,200,"0.6-3"
"71","g_Ruminococcaceae_UCG-010",1.32500550166255e-05,"Positive",3.29760094703366e-06,"Positive",1.18504031287705e-11,"Boundary",1.17737815937247e-05,"Positive",0.000185162528855067,"Positive",5.55095666906657e-08,2.5673786098596e-09,-1.87479872693075e-06,1,1,974,200,"0.6-3"
"72","g_Ruminococcaceae_UCG-011",5.35160653666851e-06,"Positive",1.94382984524865e-06,"Positive",2.57575442641357e-06,"Positive",8.44675238779157e-06,"Positive",0.000131381238578815,"Positive",0.0172062024379402,0.0666544035395698,0.0685273628196228,0.793493129104744,0.856762368489966,974,200,"0.6-3"
"73","g_Ruminococcaceae_UCG-013",4.64700244999892e-05,"Positive",2.95086494911209e-05,"Positive",5.10841596827162e-06,"Positive",1.21842314495736e-05,"Positive",0.000407460723992032,"Positive",0.0102018954352737,0.0637807096917224,0.0278919771844812,0.867363035479556,0.90035939742615,974,200,"0.6-3"
"74","g_Ruminococcaceae_UCG-014",0.000182856661924263,"Positive",3.26820536804378e-10,"Boundary",0.000415172356994834,"Positive",3.94749531026707e-05,"Positive",0.00322967871639338,"Positive",0.107357824897132,0.0648087669462406,4.42980288761282,0.0353165863063273,0.532140798573021,974,200,"0.6-3"
"75","g_Ruminococcus_1",3.94455057855711e-05,"Positive",3.74144234348859e-05,"Positive",7.22518993226895e-11,"Boundary",7.86525797919784e-05,"Positive",0.0011289358047821,"Positive",5.62513060918567e-08,2.42978041422002e-09,-9.11487404664513e-07,1,1,974,200,"0.6-3"
"76","g_Senegalimassilia",7.50938545546717e-06,"Positive",9.43375278480169e-06,"Positive",3.17455679257197e-07,"Positive",8.13963250282843e-06,"Positive",0.000140234624992533,"Positive",0.00191659953533586,0.0625266418827486,0.00110739003866911,0.973453319794546,0.973453319794546,974,200,"0.6-3"
"77","g_Slackia",6.2944626196599e-06,"Positive",9.44819025848502e-06,"Positive",4.42463889643412e-06,"Positive",1.70132405961387e-06,"Positive",9.20869870408385e-05,"Positive",0.0388277433035598,0.0689437870353375,0.441565455955242,0.506367842652874,0.719575355348821,974,200,"0.6-3"
"78","g_Solobacterium",1.5125554865889e-05,"Positive",1.38592589628131e-05,"Positive",6.09117559131763e-05,"Positive",2.46425351461904e-05,"Positive",0.000476216995992126,"Positive",0.103108128417838,0.0960701140684893,1.29033673813956,0.255985903387811,0.545654162484544,974,200,"0.6-3"
"79","g_Streptococcus",1.12199708773263e-05,"Positive",2.44499996251094e-11,"Boundary",2.42337408402662e-05,"Positive",1.54635377999445e-11,"Boundary",0.000241617751984502,"Positive",0.0874638514752658,0.028263111970025,5.51999205009815,0.0188003442149446,0.480061487642816,974,200,"0.6-3"
"80","g_Succinivibrio",3.27711846133759e-05,"Positive",4.0486794988774e-05,"Positive",0.000110364534726523,"Positive",3.59752668617321e-05,"Positive",0.000915948847759431,"Positive",0.0971906673956572,0.0856176690799408,1.60732275067312,0.204868549531124,0.545654162484544,974,200,"0.6-3"
"81","g_Treponema_2",0.000187583150577966,"Positive",2.54656444628501e-05,"Positive",0.00021805196416676,"Positive",0.000525805737350246,"Positive",0.00260470573768284,"Positive",0.061222825458215,0.112548069793877,0.2251576820845,0.635137814688802,0.745596565069463,974,200,"0.6-3"
"82","o_Bacteroidales",0.00116275415556359,"Positive",0.00027242448380892,"Positive",0.000843098108030149,"Positive",0.000508752552077051,"Positive",0.0142780902814563,"Positive",0.049404758286722,0.0772419217252082,0.395341849534361,0.529504778707787,0.726494868963508,974,200,"0.6-3"
"83","o_Betaproteobacteriales",1.88947563125241e-05,"Positive",2.98367408559444e-06,"Positive",3.01841553535381e-05,"Positive",6.41907389896504e-05,"Positive",0.000491984187574938,"Positive",0.0496256063500474,0.0865466152119338,0.334341168455467,0.563113963114255,0.726494868963508,974,200,"0.6-3"
"84","o_Campylobacterales",2.65784012087512e-05,"Positive",3.88789666678466e-05,"Positive",1.82048860223924e-05,"Positive",9.19545126786653e-06,"Positive",0.000757860230417598,"Positive",0.0213994383577741,0.0628243341866025,0.133163703563696,0.715174093551806,0.804570855245782,974,200,"0.6-3"
"85","o_Clostridiales",0.00154454120153245,"Positive",5.5610632683012e-10,"Boundary",0.000158852810912604,"Positive",0.000685304447497535,"Positive",0.0120550425461137,"Positive",0.0109980374703422,0.0568502864400026,0.0229561719497724,0.879571101525544,0.90035939742615,974,200,"0.6-3"
"86","o_Coriobacteriales",0.000219083619607485,"Positive",7.23518098653904e-05,"Positive",0.000117889239194582,"Positive",8.5463887358528e-06,"Positive",0.00133870306065731,"Positive",0.0671131596341292,0.0746174410307502,1.0507871329155,0.305325872728977,0.570284083705741,974,200,"0.6-3"
"87","o_Gastranaerophilales",0.00024045543803505,"Positive",3.78810725154054e-05,"Positive",2.1085353842533e-10,"Boundary",8.51837608945449e-05,"Positive",0.00329458618146806,"Positive",5.76400738977423e-08,2.26353022784047e-09,-1.26225586427609e-06,1,1,974,200,"0.6-3"
"88","o_Lactobacillales",5.43422937535413e-05,"Positive",1.26033311196655e-10,"Boundary",8.19252824077516e-05,"Positive",5.5340181384741e-07,"Positive",0.00124547590157121,"Positive",0.0592674961148431,0.0495389707387325,2.17685955406523,0.140100082518563,0.532140798573021,974,200,"0.6-3"
"89","o_Mollicutes_RF39",0.000256157200236592,"Positive",3.70862912595951e-10,"Boundary",0.000334468975348589,"Positive",9.56451411956721e-05,"Positive",0.00366491061798769,"Positive",0.076868527185291,0.06110191907528,2.13589595314534,0.1438863720522,0.532140798573021,974,200,"0.6-3"
"90","o_WCHB1-41",0.00204198958069698,"Positive",8.35731094680334e-09,"Boundary",0.00357867274572269,"Positive",1.11538528117981e-09,"Boundary",0.0187809525485253,"Positive",0.146657152603394,0.0351578638120949,2.44067149195735,0.118225606647393,0.532140798573021,974,200,"0.6-3"
"91","asv_richness",4364.27603856679,"Positive",78.7763452142648,"Positive",461.504573983633,"Positive",317.665384914143,"Positive",2656.41274549923,"Positive",0.058576716502091,0.0572623496453157,1.03041770371783,0.310060581277745,0.570284083705741,974,200,"0.6-3"
"92","p_Cyanobacteria",0.000349975353796646,"Positive",3.24219952939596e-10,"Boundary",2.05054706529683e-10,"Boundary",5.47341552370279e-05,"Positive",0.00320397944290094,"Positive",5.68224857243658e-08,2.34909941930977e-09,-2.16602711589076e-06,1,1,974,200,"0.6-3"
"93","p_Firmicutes",0.0014207883145635,"Positive",1.31823354218197e-09,"Boundary",0.000471135351575327,"Positive",8.33724111298199e-10,"Boundary",0.0130269378297035,"Positive",0.0315798416486501,0.023470243663888,1.59299804582861,0.206898319158755,0.545654162484544,974,200,"0.6-3"
"94","p_Proteobacteria",7.17037707252221e-05,"Positive",4.56431380635494e-05,"Positive",6.66458998795216e-05,"Positive",5.27359672605917e-05,"Positive",0.00147093351529086,"Positive",0.0390275643036645,0.0637536487114847,0.49691094472837,0.480860579964518,0.695530481734392,974,200,"0.6-3"
